experiment,model,year,region,pr
SSP5-8.5,ec_earth3_veg_lr,2032,Brest,226.11232302343407
SSP5-8.5,ec_earth3_veg_lr,2032,Gomel,215.04331526126225
SSP5-8.5,ec_earth3_veg_lr,2032,Grodno,228.7645049823799
SSP5-8.5,ec_earth3_veg_lr,2032,Minsk,244.2051664877874
SSP5-8.5,ec_earth3_veg_lr,2032,Mogilev,250.81343692529296
SSP5-8.5,ec_earth3_veg_lr,2032,Vitebsk,238.4425324226085
SSP5-8.5,ec_earth3_veg_lr,2033,Brest,228.3419691054901
SSP5-8.5,ec_earth3_veg_lr,2033,Gomel,249.33304614809464
SSP5-8.5,ec_earth3_veg_lr,2033,Grodno,237.98126927042296
SSP5-8.5,ec_earth3_veg_lr,2033,Minsk,256.99109568565234
SSP5-8.5,ec_earth3_veg_lr,2033,Mogilev,265.5322308395107
SSP5-8.5,ec_earth3_veg_lr,2033,Vitebsk,267.9430684782698
SSP5-8.5,ec_earth3_veg_lr,2034,Brest,217.73076062805399
SSP5-8.5,ec_earth3_veg_lr,2034,Gomel,247.8866185451261
SSP5-8.5,ec_earth3_veg_lr,2034,Grodno,198.26005233924633
SSP5-8.5,ec_earth3_veg_lr,2034,Minsk,205.87404877613153
SSP5-8.5,ec_earth3_veg_lr,2034,Mogilev,237.33029133110966
SSP5-8.5,ec_earth3_veg_lr,2034,Vitebsk,211.86765803227786
SSP5-8.5,ec_earth3_veg_lr,2035,Brest,298.9649688462875
SSP5-8.5,ec_earth3_veg_lr,2035,Gomel,316.2753792482627
SSP5-8.5,ec_earth3_veg_lr,2035,Grodno,286.5007851275339
SSP5-8.5,ec_earth3_veg_lr,2035,Minsk,284.8698088597848
SSP5-8.5,ec_earth3_veg_lr,2035,Mogilev,342.5688407895653
SSP5-8.5,ec_earth3_veg_lr,2035,Vitebsk,310.4363755686966
SSP5-8.5,ec_earth3_veg_lr,2036,Brest,252.0225961720474
SSP5-8.5,ec_earth3_veg_lr,2036,Gomel,252.06492004585652
SSP5-8.5,ec_earth3_veg_lr,2036,Grodno,273.33231226749325
SSP5-8.5,ec_earth3_veg_lr,2036,Minsk,260.14556746521754
SSP5-8.5,ec_earth3_veg_lr,2036,Mogilev,261.57512683975267
SSP5-8.5,ec_earth3_veg_lr,2036,Vitebsk,248.72503774607569
SSP5-8.5,ec_earth3_veg_lr,2037,Brest,149.79727540338254
SSP5-8.5,ec_earth3_veg_lr,2037,Gomel,129.14588143076008
SSP5-8.5,ec_earth3_veg_lr,2037,Grodno,205.81089781364383
SSP5-8.5,ec_earth3_veg_lr,2037,Minsk,177.21605385538962
SSP5-8.5,ec_earth3_veg_lr,2037,Mogilev,166.40737416431165
SSP5-8.5,ec_earth3_veg_lr,2037,Vitebsk,224.60743456576475
SSP5-8.5,ec_earth3_veg_lr,2038,Brest,201.5041378114331
SSP5-8.5,ec_earth3_veg_lr,2038,Gomel,217.77781217699604
SSP5-8.5,ec_earth3_veg_lr,2038,Grodno,199.31114271531405
SSP5-8.5,ec_earth3_veg_lr,2038,Minsk,199.40966208346177
SSP5-8.5,ec_earth3_veg_lr,2038,Mogilev,223.85315741694504
SSP5-8.5,ec_earth3_veg_lr,2038,Vitebsk,216.49353521568185
SSP5-8.5,ec_earth3_veg_lr,2039,Brest,306.315271078693
