year,region,e_winter
2002,Vitebsk,14.109
2003,Brest,21.558
2003,Gomel,15.465
2003,Grodno,14.856
2003,Minsk,9.987
2003,Mogilev,10.631
2003,Vitebsk,14.050
2004,Brest,21.860
2004,Gomel,17.152
2004,Grodno,20.366
2004,Minsk,16.335
2004,Mogilev,14.844
2004,Vitebsk,17.447
2005,Brest,13.607
2005,Gomel,12.022
2005,Grodno,11.635
2005,Minsk,11.554
2005,Mogilev,12.407
2005,Vitebsk,13.005
2006,Brest,32.937
2006,Gomel,27.606
2006,Grodno,30.764
2006,Minsk,24.964
2006,Mogilev,22.216
2006,Vitebsk,27.027
2007,Brest,27.436
2007,Gomel,25.119
2007,Grodno,28.329
2007,Minsk,22.143
2007,Mogilev,20.608
2007,Vitebsk,23.594
2008,Brest,18.384
2008,Gomel,15.421
2008,Grodno,16.370
2008,Minsk,11.738
2008,Mogilev,12.365
2008,Vitebsk,14.652
2009,Brest,12.545
2009,Gomel,12.725
2009,Grodno,12.553
2009,Minsk,10.820
2009,Mogilev,10.497
2009,Vitebsk,13.414
2010,Brest,16.672
2010,Gomel,15.673
2010,Grodno,14.602
2010,Minsk,10.945
2010,Mogilev,11.243
2010,Vitebsk,12.422
2011,Brest,22.038
2011,Gomel,15.517
2011,Grodno,20.815
2011,Minsk,15.661
2011,Mogilev,14.204
2011,Vitebsk,18.928
2012,Brest,17.225
2012,Gomel,12.002
2012,Grodno,16.221
2012,Minsk,10.669
2012,Mogilev,11.573
2012,Vitebsk,14.014
2013,Brest,27.644
2013,Gomel,22.841
2013,Grodno,24.053
2013,Minsk,19.899
2013,Mogilev,17.130
2013,Vitebsk,19.725
2014,Brest,27.041
2014,Gomel,22.115
2014,Grodno,24.270
2014,Minsk,19.955
2014,Mogilev,18.820
2014,Vitebsk,18.654
2015,Brest,28.426
2015,Gomel,21.409
2015,Grodno,24.566
2015,Minsk,19.491
2015,Mogilev,19.438
2015,Vitebsk,24.104
2016,Brest,21.193
2016,Gomel,19.369
2016,Grodno,18.226
2016,Minsk,16.061
2016,Mogilev,17.094
2016,Vitebsk,15.656
2017,Brest,22.397
2017,Gomel,18.121
2017,Grodno,18.697
2017,Minsk,15.492
2017,Mogilev,14.966
2017,Vitebsk,16.847
2018,Brest,22.297
2018,Gomel,18.319
2018,Grodno,17.898
2018,Minsk,14.915
2018,Mogilev,15.242
2018,Vitebsk,16.230
2019,Brest,36.165
2019,Gomel,29.601
2019,Grodno,33.832
2019,Minsk,30.076
2019,Mogilev,24.961
2019,Vitebsk,31.780
2020,Brest,14.781
2020,Gomel,12.204
2020,Grodno,9.350
2020,Minsk,8.821
2020,Mogilev,9.414
2020,Vitebsk,14.614
2021,Brest,34.083
2021,Gomel,26.450
2021,Grodno,28.109
2021,Minsk,21.491
2021,Mogilev,19.460
2021,Vitebsk,21.132
