year,region,tp_warm
2006,Vitebsk,471.336
2007,Brest,411.556
2007,Gomel,378.943
2007,Grodno,415.595
2007,Minsk,332.101
2007,Mogilev,356.313
2007,Vitebsk,323.831
2008,Brest,409.824
2008,Gomel,360.776
2008,Grodno,384.824
2008,Minsk,389.114
2008,Mogilev,364.329
2008,Vitebsk,389.021
2009,Brest,392.849
2009,Gomel,401.957
2009,Grodno,388.495
2009,Minsk,457.971
2009,Mogilev,470.675
2009,Vitebsk,422.345
2010,Brest,481.084
2010,Gomel,362.191
2010,Grodno,503.379
2010,Minsk,469.653
2010,Mogilev,404.184
2010,Vitebsk,468.023
2011,Brest,375.708
2011,Gomel,372.918
2011,Grodno,395.889
2011,Minsk,403.749
2011,Mogilev,415.371
2011,Vitebsk,395.032
2012,Brest,359.756
2012,Gomel,423.584
2012,Grodno,360.933
2012,Minsk,372.469
2012,Mogilev,454.763
2012,Vitebsk,375.224
2013,Brest,417.102
2013,Gomel,330.936
2013,Grodno,412.401
2013,Minsk,361.184
2013,Mogilev,328.973
2013,Vitebsk,338.396
2014,Brest,406.108
2014,Gomel,366.011
2014,Grodno,407.120
2014,Minsk,402.399
2014,Mogilev,339.792
2014,Vitebsk,376.619
2015,Brest,274.427
2015,Gomel,225.568
2015,Grodno,314.778
2015,Minsk,281.725
2015,Mogilev,234.104
2015,Vitebsk,298.739
2016,Brest,271.504
2016,Gomel,259.279
2016,Grodno,387.488
2016,Minsk,295.010
2016,Mogilev,316.819
2016,Vitebsk,378.409
2017,Brest,349.554
2017,Gomel,318.993
2017,Grodno,424.369
2017,Minsk,421.342
2017,Mogilev,371.516
2017,Vitebsk,439.068
2018,Brest,312.196
2018,Gomel,359.283
2018,Grodno,321.680
2018,Minsk,323.221
2018,Mogilev,381.567
2018,Vitebsk,312.426
2019,Brest,403.186
2019,Gomel,308.286
2019,Grodno,356.135
2019,Minsk,362.764
2019,Mogilev,360.914
2019,Vitebsk,409.554
2020,Brest,420.513
2020,Gomel,367.598
2020,Grodno,351.854
2020,Minsk,402.997
2020,Mogilev,460.196
2020,Vitebsk,408.117
2021,Brest,485.762
2021,Gomel,426.533
2021,Grodno,541.839
2021,Minsk,438.481
2021,Mogilev,421.278
2021,Vitebsk,413.826
2022,Brest,354.297
2022,Gomel,327.983
2022,Grodno,414.913
2022,Minsk,364.663
2022,Mogilev,369.683
2022,Vitebsk,380.942
