year,region,e_Nov
1987,Minsk,5.140
1987,Mogilev,4.886
1987,Vitebsk,4.859
1988,Brest,9.014
1988,Gomel,7.364
1988,Grodno,7.288
1988,Minsk,5.749
1988,Mogilev,5.668
1988,Vitebsk,6.105
1989,Brest,9.565
1989,Gomel,9.501
1989,Grodno,9.060
1989,Minsk,8.038
1989,Mogilev,8.242
1989,Vitebsk,9.046
1990,Brest,14.074
1990,Gomel,12.267
1990,Grodno,12.430
1990,Minsk,10.377
1990,Mogilev,9.296
1990,Vitebsk,10.175
1991,Brest,10.677
1991,Gomel,9.750
1991,Grodno,9.155
1991,Minsk,8.166
1991,Mogilev,7.943
1991,Vitebsk,8.106
1992,Brest,13.040
1992,Gomel,8.515
1992,Grodno,10.776
1992,Minsk,5.699
1992,Mogilev,5.131
1992,Vitebsk,5.508
1993,Brest,7.430
1993,Gomel,5.620
1993,Grodno,7.796
1993,Minsk,5.684
1993,Mogilev,4.427
1993,Vitebsk,4.454
1994,Brest,13.144
1994,Gomel,12.116
1994,Grodno,11.881
1994,Minsk,11.090
1994,Mogilev,9.447
1994,Vitebsk,9.948
1995,Brest,8.890
1995,Gomel,7.272
1995,Grodno,7.689
1995,Minsk,5.817
1995,Mogilev,5.973
1995,Vitebsk,6.161
1996,Brest,14.008
1996,Gomel,12.067
1996,Grodno,12.972
1996,Minsk,11.147
1996,Mogilev,10.814
1996,Vitebsk,11.948
1997,Brest,9.902
1997,Gomel,9.891
1997,Grodno,8.047
1997,Minsk,8.108
1997,Mogilev,8.703
1997,Vitebsk,8.197
1998,Brest,11.388
1998,Gomel,11.502
1998,Grodno,9.285
1998,Minsk,8.688
1998,Mogilev,8.941
1998,Vitebsk,7.773
1999,Brest,7.558
1999,Gomel,8.118
1999,Grodno,7.139
1999,Minsk,7.104
1999,Mogilev,7.267
1999,Vitebsk,8.007
2000,Brest,11.859
2000,Gomel,10.155
2000,Grodno,11.569
2000,Minsk,9.588
2000,Mogilev,9.868
2000,Vitebsk,11.298
2001,Brest,14.547
2001,Gomel,13.113
2001,Grodno,14.664
2001,Minsk,12.848
2001,Mogilev,13.219
2001,Vitebsk,14.741
2002,Brest,9.480
2002,Gomel,9.702
2002,Grodno,7.032
2002,Minsk,6.682
2002,Mogilev,7.000
2002,Vitebsk,7.297
2003,Brest,8.602
2003,Gomel,8.421
2003,Grodno,7.892
2003,Minsk,6.618
2003,Mogilev,6.633
2003,Vitebsk,5.148
2004,Brest,11.937
2004,Gomel,10.329
2004,Grodno,10.248
2004,Minsk,10.090
2004,Mogilev,9.729
2004,Vitebsk,10.431
2005,Brest,5.875
2005,Gomel,5.567
2005,Grodno,7.099
2005,Minsk,5.127
2005,Mogilev,4.732
2005,Vitebsk,6.260
2006,Brest,8.890
2006,Gomel,7.883
2006,Grodno,8.777
2006,Minsk,7.529
2006,Mogilev,6.515
2006,Vitebsk,6.907
2007,Brest,9.867
2007,Gomel,9.066
2007,Grodno,8.649
2007,Minsk,7.791
2007,Mogilev,7.471
2007,Vitebsk,8.306
2008,Brest,12.034
2008,Gomel,10.375
2008,Grodno,10.847
2008,Minsk,8.604
2008,Mogilev,7.512
2008,Vitebsk,9.552
2009,Brest,9.204
2009,Gomel,9.518
2009,Grodno,9.294
2009,Minsk,7.505
2009,Mogilev,7.477
2009,Vitebsk,7.833
2010,Brest,15.437
2010,Gomel,14.244
2010,Grodno,13.985
2010,Minsk,12.600
2010,Mogilev,12.679
2010,Vitebsk,12.367
2011,Brest,6.829
2011,Gomel,8.115
2011,Grodno,7.872
2011,Minsk,7.929
2011,Mogilev,8.664
2011,Vitebsk,10.177
2012,Brest,11.609
2012,Gomel,11.979
2012,Grodno,11.703
2012,Minsk,10.948
2012,Mogilev,9.713
2012,Vitebsk,9.916
2013,Brest,13.167
2013,Gomel,13.644
2013,Grodno,11.077
2013,Minsk,11.520
2013,Mogilev,11.778
2013,Vitebsk,11.197
2014,Brest,7.869
2014,Gomel,4.573
2014,Grodno,8.125
2014,Minsk,7.111
2014,Mogilev,4.552
2014,Vitebsk,7.015
2015,Brest,15.222
2015,Gomel,11.537
2015,Grodno,13.826
2015,Minsk,10.907
2015,Mogilev,9.503
2015,Vitebsk,9.394
2016,Brest,11.533
2016,Gomel,9.575
2016,Grodno,9.497
2016,Minsk,7.685
2016,Mogilev,7.619
2016,Vitebsk,7.476
2017,Brest,10.984
2017,Gomel,9.909
2017,Grodno,10.684
2017,Minsk,7.946
2017,Mogilev,8.117
2017,Vitebsk,8.387
2018,Brest,7.869
2018,Gomel,6.798
2018,Grodno,7.602
2018,Minsk,7.136
2018,Mogilev,6.277
2018,Vitebsk,7.771
2019,Brest,11.859
2019,Gomel,8.981
2019,Grodno,11.864
2019,Minsk,9.692
2019,Mogilev,8.571
2019,Vitebsk,11.224
2020,Brest,12.088
2020,Gomel,10.943
2020,Grodno,11.132
2020,Minsk,10.320
2020,Mogilev,9.655
2020,Vitebsk,10.120
2021,Brest,12.261
2021,Gomel,9.670
2021,Grodno,13.112
2021,Minsk,11.471
2021,Mogilev,9.856
2021,Vitebsk,12.944
2022,Brest,9.040
2022,Gomel,9.594
2022,Grodno,7.954
2022,Minsk,8.039
2022,Mogilev,8.186
2022,Vitebsk,8.345
