year,region,tp_summer
2013,Vitebsk,193.656
2014,Brest,234.804
2014,Gomel,223.070
2014,Grodno,257.797
2014,Minsk,267.131
2014,Mogilev,220.245
2014,Vitebsk,271.962
2015,Brest,98.625
2015,Gomel,92.464
2015,Grodno,130.224
2015,Minsk,117.360
2015,Mogilev,104.943
2015,Vitebsk,128.709
2016,Brest,191.278
2016,Gomel,169.778
2016,Grodno,301.787
2016,Minsk,206.493
2016,Mogilev,210.089
2016,Vitebsk,280.219
2017,Brest,219.929
2017,Gomel,217.211
2017,Grodno,279.203
2017,Minsk,287.239
2017,Mogilev,260.300
2017,Vitebsk,312.346
2018,Brest,227.913
2018,Gomel,289.974
2018,Grodno,242.566
2018,Minsk,249.463
2018,Mogilev,298.183
2018,Vitebsk,226.641
2019,Brest,195.461
2019,Gomel,178.045
2019,Grodno,198.760
2019,Minsk,229.540
2019,Mogilev,236.845
2019,Vitebsk,259.478
2020,Brest,278.783
2020,Gomel,228.953
2020,Grodno,225.505
2020,Minsk,277.680
2020,Mogilev,302.697
2020,Vitebsk,276.728
2021,Brest,315.135
2021,Gomel,235.052
2021,Grodno,319.717
2021,Minsk,226.938
2021,Mogilev,217.579
2021,Vitebsk,204.863
2022,Brest,205.310
2022,Gomel,162.967
2022,Grodno,269.654
2022,Minsk,219.934
2022,Mogilev,210.234
2022,Vitebsk,241.748
