year,region,e_Oct
2013,Brest,23.144
2013,Gomel,22.089
2013,Grodno,20.967
2013,Minsk,19.138
2013,Mogilev,20.025
2013,Vitebsk,19.841
2014,Brest,23.038
2014,Gomel,20.304
2014,Grodno,23.273
2014,Minsk,21.154
2014,Mogilev,18.703
2014,Vitebsk,20.510
2015,Brest,22.770
2015,Gomel,23.117
2015,Grodno,19.648
2015,Minsk,20.445
2015,Mogilev,19.170
2015,Vitebsk,18.131
2016,Brest,28.171
2016,Gomel,26.195
2016,Grodno,25.559
2016,Minsk,25.620
2016,Mogilev,23.789
2016,Vitebsk,21.867
2017,Brest,30.988
2017,Gomel,27.922
2017,Grodno,27.243
2017,Minsk,26.121
2017,Mogilev,23.860
2017,Vitebsk,23.827
2018,Brest,27.816
2018,Gomel,25.650
2018,Grodno,26.671
2018,Minsk,25.074
2018,Mogilev,24.794
2018,Vitebsk,23.046
2019,Brest,28.124
2019,Gomel,26.235
2019,Grodno,26.087
2019,Minsk,25.464
2019,Mogilev,25.239
2019,Vitebsk,24.811
2020,Brest,26.305
2020,Gomel,27.479
2020,Grodno,23.372
2020,Minsk,23.771
2020,Mogilev,26.907
2020,Vitebsk,26.721
2021,Brest,29.494
2021,Gomel,25.712
2021,Grodno,30.347
2021,Minsk,27.044
2021,Mogilev,25.160
2021,Vitebsk,26.778
2022,Brest,27.633
2022,Gomel,29.152
2022,Grodno,24.730
2022,Minsk,23.979
2022,Mogilev,24.473
2022,Vitebsk,21.777
