year,region,tp_cold
2009,Mogilev,283.249
2009,Vitebsk,286.931
2010,Brest,253.945
2010,Gomel,277.348
2010,Grodno,236.906
2010,Minsk,234.401
2010,Mogilev,263.677
2010,Vitebsk,257.232
2011,Brest,181.155
2011,Gomel,223.943
2011,Grodno,210.135
2011,Minsk,224.887
2011,Mogilev,258.403
2011,Vitebsk,267.824
2012,Brest,288.222
2012,Gomel,323.382
2012,Grodno,265.866
2012,Minsk,273.170
2012,Mogilev,282.138
2012,Vitebsk,274.368
2013,Brest,204.151
2013,Gomel,212.652
2013,Grodno,220.370
2013,Minsk,236.858
2013,Mogilev,247.782
2013,Vitebsk,262.576
2014,Brest,202.558
2014,Gomel,180.790
2014,Grodno,209.111
2014,Minsk,182.817
2014,Mogilev,189.896
2014,Vitebsk,204.728
2015,Brest,302.600
2015,Gomel,295.656
2015,Grodno,300.689
2015,Minsk,291.574
2015,Mogilev,300.297
2015,Vitebsk,277.679
2016,Brest,278.404
2016,Gomel,244.702
2016,Grodno,279.740
2016,Minsk,269.962
2016,Mogilev,238.587
2016,Vitebsk,273.507
2017,Brest,236.676
2017,Gomel,318.754
2017,Grodno,222.645
2017,Minsk,270.417
2017,Mogilev,313.825
2017,Vitebsk,253.381
2018,Brest,232.140
2018,Gomel,200.918
2018,Grodno,248.159
2018,Minsk,224.311
2018,Mogilev,204.067
2018,Vitebsk,220.834
2019,Brest,216.793
2019,Gomel,205.023
2019,Grodno,242.695
2019,Minsk,239.081
2019,Mogilev,236.933
2019,Vitebsk,277.495
2020,Brest,234.094
2020,Gomel,255.784
2020,Grodno,228.115
2020,Minsk,265.291
2020,Mogilev,267.664
2020,Vitebsk,241.722
2021,Brest,220.891
2021,Gomel,232.771
2021,Grodno,248.507
2021,Minsk,243.729
2021,Mogilev,240.783
2021,Vitebsk,264.021
