year,region,tp_Jul
2001,Gomel,86.420
2001,Grodno,110.476
2001,Minsk,94.704
2001,Mogilev,84.544
2001,Vitebsk,100.585
2002,Brest,60.697
2002,Gomel,43.367
2002,Grodno,58.642
2002,Minsk,38.738
2002,Mogilev,57.877
2002,Vitebsk,45.109
2003,Brest,134.114
2003,Gomel,88.977
2003,Grodno,110.658
2003,Minsk,126.516
2003,Mogilev,72.531
2003,Vitebsk,85.425
2004,Brest,82.669
2004,Gomel,80.857
2004,Grodno,80.017
2004,Minsk,76.473
2004,Mogilev,67.925
2004,Vitebsk,72.048
2005,Brest,63.655
2005,Gomel,56.629
2005,Grodno,49.466
2005,Minsk,64.936
2005,Mogilev,86.003
2005,Vitebsk,74.331
2006,Brest,73.561
2006,Gomel,70.943
2006,Grodno,49.549
2006,Minsk,52.521
2006,Mogilev,59.204
2006,Vitebsk,61.012
2007,Brest,193.088
2007,Gomel,184.207
2007,Grodno,203.848
2007,Minsk,148.011
2007,Mogilev,132.479
2007,Vitebsk,101.492
2008,Brest,114.201
2008,Gomel,87.466
2008,Grodno,92.402
2008,Minsk,104.082
2008,Mogilev,69.361
2008,Vitebsk,103.632
2009,Brest,92.629
2009,Gomel,125.843
2009,Grodno,102.129
2009,Minsk,123.603
2009,Mogilev,128.653
2009,Vitebsk,98.603
2010,Brest,70.222
2010,Gomel,76.465
2010,Grodno,82.658
2010,Minsk,88.272
2010,Mogilev,60.308
2010,Vitebsk,68.487
2011,Brest,149.129
2011,Gomel,132.519
2011,Grodno,154.797
2011,Minsk,138.036
2011,Mogilev,123.576
2011,Vitebsk,124.230
2012,Brest,49.223
2012,Gomel,62.211
2012,Grodno,71.772
2012,Minsk,59.977
2012,Mogilev,62.462
2012,Vitebsk,71.974
2013,Brest,72.542
2013,Gomel,71.266
2013,Grodno,77.597
2013,Minsk,89.591
2013,Mogilev,82.451
2013,Vitebsk,84.897
2014,Brest,62.053
2014,Gomel,82.587
2014,Grodno,58.690
2014,Minsk,65.197
2014,Mogilev,67.249
2014,Vitebsk,57.500
2015,Brest,59.480
2015,Gomel,70.850
2015,Grodno,73.771
2015,Minsk,82.345
2015,Mogilev,72.865
2015,Vitebsk,97.482
2016,Brest,90.946
2016,Gomel,73.851
2016,Grodno,172.130
2016,Minsk,106.135
2016,Mogilev,93.977
2016,Vitebsk,154.972
2017,Brest,108.814
2017,Gomel,117.665
2017,Grodno,109.413
2017,Minsk,113.231
2017,Mogilev,122.011
2017,Vitebsk,122.747
2018,Brest,134.489
2018,Gomel,150.267
2018,Grodno,145.996
2018,Minsk,161.357
2018,Mogilev,160.402
2018,Vitebsk,120.594
2019,Brest,76.284
2019,Gomel,80.743
2019,Grodno,68.766
2019,Minsk,90.677
2019,Mogilev,103.979
2019,Vitebsk,118.008
2020,Brest,73.710
2020,Gomel,77.985
2020,Grodno,51.070
2020,Minsk,95.104
2020,Mogilev,120.290
2020,Vitebsk,111.903
2021,Brest,96.458
2021,Gomel,66.923
2021,Grodno,93.116
2021,Minsk,54.840
2021,Mogilev,37.710
2021,Vitebsk,37.720
2022,Brest,116.312
2022,Gomel,83.037
2022,Grodno,146.829
2022,Minsk,117.398
2022,Mogilev,113.937
2022,Vitebsk,115.102
