experiment,model,year,region,tas
SSP1-2.6,access_cm2,2075,Mogilev,-2.6713133118301995
SSP1-2.6,access_cm2,2075,Vitebsk,-3.2659650547213026
SSP1-2.6,access_cm2,2076,Brest,0.0018511166395139681
SSP1-2.6,access_cm2,2076,Gomel,-0.5630006854094116
SSP1-2.6,access_cm2,2076,Grodno,-0.8258937769812273
SSP1-2.6,access_cm2,2076,Minsk,-1.387093097078298
SSP1-2.6,access_cm2,2076,Mogilev,-1.6004866054857647
SSP1-2.6,access_cm2,2076,Vitebsk,-2.660787359598784
SSP1-2.6,access_cm2,2077,Brest,0.06976972574468492
SSP1-2.6,access_cm2,2077,Gomel,-0.8895602142376725
SSP1-2.6,access_cm2,2077,Grodno,-0.7555077557136745
SSP1-2.6,access_cm2,2077,Minsk,-1.4554665286236987
SSP1-2.6,access_cm2,2077,Mogilev,-2.1145833448427624
SSP1-2.6,access_cm2,2077,Vitebsk,-2.725309562384238
SSP1-2.6,access_cm2,2078,Brest,3.3496944539502183
SSP1-2.6,access_cm2,2078,Gomel,2.6579934033581365
SSP1-2.6,access_cm2,2078,Grodno,2.864600761972114
SSP1-2.6,access_cm2,2078,Minsk,2.2719704111245633
SSP1-2.6,access_cm2,2078,Mogilev,1.7291840928017277
SSP1-2.6,access_cm2,2078,Vitebsk,1.2310649746736875
SSP1-2.6,access_cm2,2079,Brest,2.427115207604786
SSP1-2.6,access_cm2,2079,Gomel,1.1844831927296597
SSP1-2.6,access_cm2,2079,Grodno,1.9369821514202654
SSP1-2.6,access_cm2,2079,Minsk,1.088613820660038
SSP1-2.6,access_cm2,2079,Mogilev,0.1676585178870493
SSP1-2.6,access_cm2,2079,Vitebsk,-0.0004697227078907928
SSP1-2.6,access_cm2,2080,Brest,0.1498147570523272
SSP1-2.6,access_cm2,2080,Gomel,-1.0032736470349217
SSP1-2.6,access_cm2,2080,Grodno,-0.5894497658496418
SSP1-2.6,access_cm2,2080,Minsk,-1.4670835240996132
SSP1-2.6,access_cm2,2080,Mogilev,-2.3311896818419453
SSP1-2.6,access_cm2,2080,Vitebsk,-2.9233602904044176
SSP1-2.6,access_cm2,2081,Brest,-0.44471925787823596
SSP1-2.6,access_cm2,2081,Gomel,-1.4115088800555582
SSP1-2.6,access_cm2,2081,Grodno,-1.3971073779986833
SSP1-2.6,access_cm2,2081,Minsk,-2.3001131196663085
SSP1-2.6,access_cm2,2081,Mogilev,-2.929720520242627
SSP1-2.6,access_cm2,2081,Vitebsk,-3.74267637622154
SSP1-2.6,access_cm2,2082,Brest,1.8658519502401545
SSP1-2.6,access_cm2,2082,Gomel,0.958117174951586
SSP1-2.6,access_cm2,2082,Grodno,1.2515883122327496
SSP1-2.6,access_cm2,2082,Minsk,0.6155151099946097
SSP1-2.6,access_cm2,2082,Mogilev,0.10202799496821745
SSP1-2.6,access_cm2,2082,Vitebsk,-0.3702740930471655
SSP1-2.6,access_cm2,2083,Brest,4.881790105123641
SSP1-2.6,access_cm2,2083,Gomel,4.340231439295694
SSP1-2.6,access_cm2,2083,Grodno,4.506654415760035
